system:index,B2,B3,B4,.geo
2_36_0,270,541,328,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_37_0,326,630,418,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_38_0,220,450,276,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_39_0,268,527,272,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_40_0,242,530,280,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_41_0,278,464,339,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_42_0,319,572,400,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_43_0,314,516,410,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_44_0,273,576,371,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_45_0,267,547,326,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_46_0,220,459,273,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_47_0,286,514,358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_48_0,244,424,286,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_49_0,304,782,419,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_50_0,236,543,272,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_51_0,203,424,268,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_52_0,278,538,336,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_53_0,255,499,304,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_54_0,258,650,334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_55_0,242,480,259,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_56_0,254,515,299,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_57_0,249,516,329,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_58_0,307,761,330,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_59_0,250,527,299,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_60_0,336,684,434,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_61_0,234,477,250,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_62_0,244,439,282,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_63_0,248,445,288,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_64_0,233,490,274,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_65_0,264,440,330,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_66_0,257,503,345,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_67_0,265,548,312,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_68_0,234,483,296,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_69_0,217,514,275,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_70_0,272,688,390,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_71_0,264,492,325,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_72_0,268,575,304,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_73_0,319,612,410,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_74_0,266,558,281,"{""type"":""MultiPoint"",""coordinates"":[]}"
